threading_off
pos_x,vel_y,mass ,color_alpha 
11323,10953,10750,8937
11137,10900,10453,8801
11041,11576,10836,9724
11708,12276,10888,9003
11554,12469,11223,9159
11903,11572,11023,9245
11717,10728,10036,8437
10654,10985,10556,8716
11439,10994,10513,8605
10703,11862,11392,8812
threading_off
pos_x,vel_y,mass ,color_alpha 
11895,11486,10771,9541
10558,11335,10737,9499
11164,11355,10553,8827
11874,11373,10744,8655
10996,11083,10446,8602
11292,10946,10216,8993
11135,11426,10487,8992
12292,11198,11388,8859
11975,11256,10280,8719
11093,11128,10316,8829
threading_off
pos_x,vel_y,mass ,color_alpha 
11009,10896,10339,8841
10982,10970,10123,8589
10602,10847,10669,9064
10973,11469,12070,8807
10955,10811,9994,8619
10643,11487,10214,8953
11011,11014,10213,8571
10804,10851,10183,8648
10770,10781,10135,8563
10589,10659,10359,8857
