threading_on
pos_x,vel_y,mass ,color_alpha 
6616,7521,7223,4985
7412,7707,6612,4887
7306,7270,6606,4994
7334,7319,7143,5660
8488,7433,6474,5213
7597,7534,6682,5201
7334,7453,6506,5002
7383,7337,6222,4857
7139,7329,6771,5319
7838,7582,7211,4584
threading_on
pos_x,vel_y,mass ,color_alpha 
9360,9325,7306,5683
10668,7361,6132,5577
7132,7704,7290,5028
7488,7181,6775,5183
7938,8299,6617,5237
7247,8117,6659,4670
6913,6873,6125,4604
6932,6959,6138,4596
6882,6922,6113,4585
6955,6912,6225,4824
threading_on
pos_x,vel_y,mass ,color_alpha 
6624,6853,7451,5939
8459,9355,8753,5191
8884,7776,6468,4767
7397,7967,7003,6044
7863,8662,7046,5348
7830,8201,7666,5823
7718,6742,7167,4893
7364,7742,7083,4366
7314,7786,6081,5408
7296,7412,6758,5975
threading_on
pos_x,vel_y,mass ,color_alpha 
8418,10586,7682,5431
7317,7213,6004,4600
7117,8007,6434,4867
6854,6988,6168,4629
6899,7647,6550,5162
7744,7328,7015,5420
7606,8181,7140,5176
8933,8166,6576,5113
7097,7339,6110,4732
7065,7271,6556,5096
